Program,Input Size,Average Time (secs)
6, sq_mat_ver_mult, 4096, . secs, 0 secs
7, sq_mat_ver_mult, 4096, . secs, 0 secs
8, sq_mat_ver_mult, 4096, . secs, 0 secs
9, sq_mat_ver_mult, 4096, . secs, 0 secs
10, sq_mat_ver_mult, 4096, . secs, 0 secs
1, sq_mat_ver_mult, 8192, . secs, 0 secs
2, sq_mat_ver_mult, 8192, . secs, 0 secs
3, sq_mat_ver_mult, 8192, . secs, 0 secs
4, sq_mat_ver_mult, 8192, . secs, 0 secs
5, sq_mat_ver_mult, 8192, . secs, 0 secs
6, sq_mat_ver_mult, 8192, . secs, 0 secs
7, sq_mat_ver_mult, 8192, . secs, 0 secs
8, sq_mat_ver_mult, 8192, . secs, 0 secs
9, sq_mat_ver_mult, 8192, . secs, 0 secs
10, sq_mat_ver_mult, 8192, . secs, 0 secs
1, sq_mat_ver_mult, 16384, . secs, 0 secs
2, sq_mat_ver_mult, 16384, . secs, 0 secs
3, sq_mat_ver_mult, 16384, . secs, 0 secs
4, sq_mat_ver_mult, 16384, . secs, 0 secs
5, sq_mat_ver_mult, 16384, . secs, 0 secs
6, sq_mat_ver_mult, 16384, . secs, 0 secs
7, sq_mat_ver_mult, 16384, . secs, 0 secs
8, sq_mat_ver_mult, 16384, . secs, 0 secs
9, sq_mat_ver_mult, 16384, . secs, 0 secs
10, sq_mat_ver_mult, 16384, . secs, 0 secs
1, sq_mat_ver_mult, 32768, . secs, 0 secs
2, sq_mat_ver_mult, 32768, . secs, 0 secs
3, sq_mat_ver_mult, 32768, . secs, 0 secs
4, sq_mat_ver_mult, 32768, . secs, 0 secs
5, sq_mat_ver_mult, 32768, . secs, 0 secs
6, sq_mat_ver_mult, 32768, . secs, 0 secs
7, sq_mat_ver_mult, 32768, . secs, 0 secs
8, sq_mat_ver_mult, 32768, . secs, 0 secs
9, sq_mat_ver_mult, 32768, . secs, 0 secs
10, sq_mat_ver_mult, 32768, . secs, 0 secs
1, sq_mat_ver_mult_omp, 64,  secs,  secs
2, sq_mat_ver_mult_omp, 64,  secs,  secs
3, sq_mat_ver_mult_omp, 64,  secs,  secs
4, sq_mat_ver_mult_omp, 64,  secs,  secs
5, sq_mat_ver_mult_omp, 64,  secs,  secs
6, sq_mat_ver_mult_omp, 64,  secs,  secs
7, sq_mat_ver_mult_omp, 64,  secs,  secs
8, sq_mat_ver_mult_omp, 64,  secs,  secs
9, sq_mat_ver_mult_omp, 64,  secs,  secs
10, sq_mat_ver_mult_omp, 64,  secs,  secs
1, sq_mat_ver_mult_omp, 128,  secs,  secs
2, sq_mat_ver_mult_omp, 128,  secs,  secs
3, sq_mat_ver_mult_omp, 128,  secs,  secs
4, sq_mat_ver_mult_omp, 128,  secs,  secs
5, sq_mat_ver_mult_omp, 128,  secs,  secs
6, sq_mat_ver_mult_omp, 128,  secs,  secs
7, sq_mat_ver_mult_omp, 128,  secs,  secs
